metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.34377541679806267,0.54,0,1.0,0.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.6273395441755125,0.82,0,1.0,-0.05455447255899809,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.3761088174201359,0.5599999999999999,0,1.0,0.34412360080584264,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.010118258989126246,0.02000000000000001,1,0.0,1.0,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.14411706178066816,0.24000000000000005,1,0.0,0.35909242322980395,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.1527619042708669,0.37999999999999995,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.012353310468630554,0.06000000000000002,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.34402922606181263,0.5,0,1.0,0.2813874297663251,10,10,1.0,10.0,10.0
cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.009668627400105323,0.10000000000000003,1,0.0,,10,10,1.0,10.0,10.0
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,en,0.49342260576014463,0.7,1,,0.37582301400141443,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.5970274724906797,0.69,0,,-0.0774178403926896,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.7063820169605375,0.88,0,,0.5838027653815522,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.43005160171705237,0.63,0,,0.2616375974373744,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,en,0.5517211981044157,0.61,0,,-0.12121609856690549,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.426797631293201,0.63,0,,0.6287930025308828,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.24027413587185165,0.47,0,,0.7133297848554423,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.20905706477316965,0.45,0,,0.8393167417492743,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
