metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.2626900138532116,0.5333333333333333,0,1,0.0,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.02033951620003726,0.16666666666666666,0,1,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.07352101990504123,0.1333333333333334,1,0,0.5263157894736843,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.05429343641137737,0.10000000000000006,1,0,1.0,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.016870446910108472,0.033333333333333326,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.5544242880825523,0.8,0,1,-0.05555555555555556,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.7188472224993534,0.9,0,1,0.7777777777777779,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.13769909538745992,0.3333333333333333,0,1,0.6000000000000001,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0,,30,30,1.0,30.0,30.0
cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.3161341998316931,0.5,0,1,0.0,10,10,1.0,10.0,10.0
cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.19116495692878083,0.5,0,1,,10,10,1.0,10.0,10.0
cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.21409496135351613,0.5,0,1,,10,10,1.0,10.0,10.0
cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.03485155455967723,0.20000000000000004,1,0,,10,10,1.0,10.0,10.0
cross_lingual,gemini,gemini-2.5-flash,2,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.31127812445913294,0.5,0,1,-0.8660254037844387,10,10,1.0,10.0,10.0
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,en,1.0,1.0,0,0,-0.6425294053171791,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,zh,1.0,1.0,0,0,-0.6425294053171791,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,en,0.7906347935790627,0.8233333333333334,0,0,0.0029742173816731964,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.8776559494142212,0.9299999999999999,0,0,-0.17570483776079984,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.6300500256403532,0.73,0,0,-0.005258153378167326,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.6869808542775653,0.73,0,0,-0.07887230067250989,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,en,0.7665678394184394,0.8333333333333334,0,0,-0.07054277910897512,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.7636631990090903,0.8333333333333333,0,0,-0.1160542495018623,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.6343429748696627,0.7666666666666667,0,0,-0.05698028822981898,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.7035678436779106,0.8333333333333334,0,0,-0.25177653824604507,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,en,1.0,1.0,0,0,-0.40547849682554116,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.9683966386773772,0.97,0,0,-0.14673189534085726,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,en,1.0,1.0,0,0,-0.3382950893557894,30,30,1.0,,
human_alignment,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,zh,1.0,1.0,0,0,-0.3382950893557894,30,30,1.0,,
