metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.06276448651079401,0.12,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.715153158564267,0.8999999999999999,0,1.0,-0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.03066939825433814,0.060000000000000026,1,0.0,0.8660254037844387,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.056208339005798906,0.17999999999999997,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.005121349208578381,0.060000000000000026,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.10803154614560012,0.19999999999999998,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,50,1.0,50.0,50.0
cross_lingual,openai,gpt-5.4,2,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,1.0,1.0,0,1.0,-0.8660254037844387,10,10,1.0,10.0,10.0
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,en,0.49342260576014463,0.7,1,,0.37582301400141443,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.49342260576014463,0.7,1,,0.37582301400141443,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8336791289905015,0.94,0,,0.1920290882090079,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.6128082505429977,0.8200000000000001,0,,0.6181441045216435,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,en,0.9001220411734101,0.96,0,,0.1759296422118597,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.37378706510396226,0.55,0,,0.2974680079732141,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.20873545110053365,0.36,1,,0.5356832289134414,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.20873545110053365,0.36,1,,0.5356832289134414,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,en,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_06,6,0.44,medium,zh,0.36065704994910286,0.56,1,,0.422936920641326,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,en,0.5149577839754269,0.72,1,,0.3473009417599612,50,50,1.0,,
human_alignment,openai,gpt-5.4,1,study2_british_within,study2_item_07,7,0.28,low,zh,0.5149577839754269,0.72,1,,0.3473009417599612,50,50,1.0,,
