provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,45,1.0,256,643996705,120,10,be1fc7a715c656835fe30eac5bf77f4bcea69abf154a4cf8aab87cf0f0994a85,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:09:55.389569+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_13,Name a currency,说出一种货币,en,English,1,5,1.0,256,518505972,120,10,7e99b368847266e42ea41fedfe1b4458e0b0c773300ed31d46a96de40479b6a6,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a currency",British Pound Sterling,stop,062d55cf14b8e7018e702c943b1415e4,124.0,49.0,173.0,2.2453963000007207,provider_api,0,1,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 10, 'http_status': 200, 'usage': {'prompt_tokens': 124, 'completion_tokens': 49, 'total_tokens': 173, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:19:47.977010+00:00,nan,British Pound Sterling,British Pound Sterling,britishpoundsterling,British Pound Sterling,britishpoundsterling,,unmapped,pound,pound,40.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_13,Name a currency,说出一种货币,en,English,1,15,1.0,256,3966114,120,10,e58038e589f5d3859ba9f1a1aa63e5a9bfecbb1e94ef029494419ca6fdaa6bd0,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a currency",The pound,stop,062d55df2b5e212fac759877248673ee,124.0,68.0,192.0,2.632226500005345,provider_api,0,1,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 11, 'http_status': 200, 'usage': {'prompt_tokens': 124, 'completion_tokens': 68, 'total_tokens': 192, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:20:04.681329+00:00,nan,The pound,The pound,thepound,The pound,thepound,,unmapped,pound,pound,76.92307692307692
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_13,Name a currency,说出一种货币,en,English,1,45,1.0,256,747724136,120,10,e14e84e9b61938588fff6ace5aa2c84d7324488a5241b410483fbebdbbbeceb3,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a currency",The Pound,stop,062d56063f9f7c34fc985a15baf66b20,124.0,75.0,199.0,2.4714079999976093,provider_api,0,1,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 11, 'http_status': 200, 'usage': {'prompt_tokens': 124, 'completion_tokens': 75, 'total_tokens': 199, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:20:44.476607+00:00,nan,The Pound,The Pound,thepound,The Pound,thepound,,unmapped,pound,pound,76.92307692307692
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_09,Name a book,说出一本书,en,English,1,28,1.0,256,962212923,120,10,9adbe644381920f8b77e0c40f07ba466b662d738a1ff8cf4259baca1e997c56c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a book",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:20:46.286365+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,39,1.0,256,904536779,120,10,605cadd6420669bffdbcacb9f8234ac0f9b80ecdab2fb28bb790c8adfe2dc718,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）","

Lionel Messi",stop,062d57a35d84a2d80129dbd9852646ff,32.0,168.0,200.0,8.838915300002554,provider_api,1,2,False,False,1344.0,,"{'stream': True, 'requested_stream': True, 'event_count': 9, 'http_status': 200, 'usage': {'prompt_tokens': 32, 'completion_tokens': 168, 'total_tokens': 200, 'prompt_tokens_details': {'cached_tokens': 1344, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:27:44.244835+00:00,nan,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,42,1.0,256,719911369,120,10,b54beaef49129dcceac6c2bde5b2b97855d938d65ee24f3594d4cb1049a05dff,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",Michael Jordan,stop,062d57ce8aaaed9ba573b1140e86a411,123.0,208.0,331.0,3.170376199996099,provider_api,1,2,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 16, 'http_status': 200, 'usage': {'prompt_tokens': 123, 'completion_tokens': 208, 'total_tokens': 331, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:28:23.373520+00:00,nan,Michael Jordan,Michael Jordan,michaeljordan,Michael Jordan,jordan,,unmapped,mohamedsalah,mohamedsalah,48.0
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai_chat_completions_stream,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,44,1.0,256,14501278,120,10,832fe0bdf7a2a58281c0b4fd3ed95037a3a8def253f0082d040419211363d7bc,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",Lionel Messi,stop,062d57e5a07810d3811858647f21cb4b,123.0,169.0,292.0,2.5612326999980723,provider_api,1,2,False,False,1251.0,,"{'stream': True, 'requested_stream': True, 'event_count': 15, 'http_status': 200, 'usage': {'prompt_tokens': 123, 'completion_tokens': 169, 'total_tokens': 292, 'prompt_tokens_details': {'cached_tokens': 1251, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-14T11:28:45.734896+00:00,nan,Lionel Messi,Lionel Messi,lionelmessi,Lionel Messi,messi,,unmapped,messi,messi,62.5
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,3,1.0,256,555171152,120,10,c883aee447202b93e6a03e3b1cc51e7af6670d0c7e35aee7b00c3552ae726605,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:31:39.857478+00:00,empty response text,,,,,,,invalid,,,
openai,MiniMax-M2.7,MiniMax-M2.7,MiniMax-M2.7,openai,study2_british_within,study2_item_02,Name a sport player (any sport),说出一位运动员（任何运动项目）,zh,English,1,4,1.0,256,941261559,120,10,73c61837c551447b0d88a8699e18821c0e7adfe709322a7db5837740325517e6,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请只给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一位运动员（任何运动项目）",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-14T11:31:48.628892+00:00,empty response text,,,,,,,invalid,,,
