provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,5,1.0,256,8385885,120,20,6e16cee8f69c53d37735d7448ed5fdf595ce7153a9c8f5062fbd7cfde3ab834c,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-19T15:43:59.089090+00:00,empty response text,,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,4,1.0,256,742670759,120,20,1bc13793fe67fc35a4117930f3d7dde468aec642c3eda24e9a1cf5a12abd59cb,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,empty response text,{'error': 'empty response text'},2026-04-19T15:44:00.038596+00:00,empty response text,,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,9,1.0,256,501884844,120,20,f47c42b25cd40df56f1c7a916f928d77ace168c6412c663645e8e80cd8fa8ade,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.097061+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,2,8,1.0,256,149834765,120,20,438f60a0f0701445b73c313f358edfc34c26efa0db4c3f07f34b158ff79ca64f,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Try again without changing the coordination goal. Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.098098+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,6,1.0,256,459622326,120,20,53afcd2856824e4141f14c8bcd717e004a37c4fd4b951500449bb08db3a49009,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.099167+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,2,1,1.0,256,67812767,120,20,e6634252da484b232060313661792b32dbc249371a63a6e9a34ef4e1ad7a3973,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Try again without changing the coordination goal. Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.134090+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,2,1.0,256,250323657,120,20,0086610cf66116fc486046756ac50bdccf7868dd4a62d6b4a732caf0c810ed46,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.135597+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,2,3,1.0,256,213489702,120,20,94c126de6e8880724c62b1341acf55139eb3fbec01aca28b87d5f8f05d859a84,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Try again without changing the coordination goal. Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.136597+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,en,English,2,0,1.0,256,247733117,120,20,4b6a950074d0e32384d8d365c29f35a8e5d295a8dc233f49f256a2ac81f6d085,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Try again without changing the coordination goal. Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a tourist city",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.137200+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
openai,mimo-v2-omni,mimo-v2-omni,mimo-v2-omni,openai,study2_british_within,study2_item_11,Name a tourist city,说出一座旅游城市,zh,English,2,8,1.0,256,197040915,120,20,cf35d9eba3ea4b85e088ea2e023132195cb37d7abe38f6f88639d5889642734a,你正在参与一个纯协调任务。你的目标是给出最可能与另一位来自英国的参与者一致的答案。只输出一个简短答案，不要解释，不要加额外说明。,"请在不改变协调目标的前提下再尝试一次，给出一个最可能与另一位来自英国的参与者一致的答案。
请用English作答。
类别：说出一座旅游城市",,,,,,,,provider_error,10,10,False,False,,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))","{'error': ""('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))""}",2026-04-19T15:44:41.139223+00:00,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",,,,,,,invalid,,,
