Model,Run folder,Prompt language,Provider,Model raw,Item n,JSD,TVD,Top1 match,Spearman
K2.6-code-preview,K2.6-code-preview_20260417T175310Z,en,openai,K2.6-code-preview,15,0.3574595776411256,0.4926666666666667,0.7333333333333333,0.5048940002648625
K2.6-code-preview,K2.6-code-preview_20260417T175310Z,zh,openai,K2.6-code-preview,15,0.37662221742254065,0.5153333333333333,0.8,0.48546200187131533
MiniMax-M2.7-highspeed,MiniMax-M2.7-highspeed_20260417T175955Z,en,openai,MiniMax-M2.7-highspeed,15,0.35300642809072935,0.4946666666666666,0.8666666666666667,0.5098203053112293
MiniMax-M2.7-highspeed,MiniMax-M2.7-highspeed_20260417T175955Z,zh,openai,MiniMax-M2.7-highspeed,15,0.3442439467920206,0.5046666666666666,0.7333333333333333,0.5103278633805035
MiniMax-M2.7,MiniMax-M2.7_20260414T105529Z,en,openai,MiniMax-M2.7,15,0.3603070197651062,0.5027074829931972,0.8,0.5241519047286191
MiniMax-M2.7,MiniMax-M2.7_20260414T105529Z,zh,openai,MiniMax-M2.7,15,0.3283619875684159,0.4846340200382754,0.7333333333333333,0.5100039858289264
deepseek-v3.2,deepseek-v3.2_20260412T141541Z,en,deepseek,deepseek-chat,15,0.353421724997366,0.502,0.8,0.5083246651949794
deepseek-v3.2,deepseek-v3.2_20260412T141541Z,zh,deepseek,deepseek-chat,15,0.3035255240467417,0.45533333333333326,0.8,0.546954811451841
deepseek-v3,deepseek-v3_20260412T121754Z,en,deepseek,deepseek-chat,15,0.3517787331054319,0.502,0.8,0.5083246651949794
deepseek-v3,deepseek-v3_20260412T121754Z,zh,deepseek,deepseek-chat,15,0.30186656025857783,0.452,0.8,0.546954811451841
gemini-2.5-flash,gemini2.5-flash_20260417T145822Z,en,gemini,gemini-2.5-flash,15,0.26149311787313667,0.4200680272108844,0.8,0.5494120104122721
gemini-2.5-flash,gemini2.5-flash_20260417T145822Z,zh,gemini,gemini-2.5-flash,15,0.2601628100983727,0.4131679586563307,0.7333333333333333,0.5727396102938079
glm-4-airx,glm-4-airx_20260417T164754Z,en,openai,glm-4-airx,15,0.34185988379220933,0.4746666666666667,0.7333333333333333,0.49493186437584724
glm-4-airx,glm-4-airx_20260417T164754Z,zh,openai,glm-4-airx,15,0.327990226045174,0.4733333333333334,0.8,0.5000541781476501
glm-4-flashx-250414,glm-4-flashx-250414_20260417T162459Z,en,openai,glm-4-flashx-250414,15,0.4030632612282982,0.5346666666666666,0.7333333333333333,0.38583926895818726
glm-4-flashx-250414,glm-4-flashx-250414_20260417T162459Z,zh,openai,glm-4-flashx-250414,15,0.3903811714950883,0.52,0.7333333333333333,0.4128392285598733
gpt-4o-mini,gpt-4o-mini_20260412T115957Z,en,openai,gpt-4o-mini,15,0.34491197987849465,0.49000000000000005,0.7333333333333333,0.5245137687347217
gpt-4o-mini,gpt-4o-mini_20260412T115957Z,zh,openai,gpt-4o-mini,15,0.35605107650785617,0.49999999999999994,0.8,0.5136910483664912
gpt-5.4-mini,gpt-5.4-mini_20260413T081755Z,en,openai,gpt-5.4-mini,15,0.30348771578797584,0.45199999999999996,0.8,0.5337795783655659
gpt-5.4-mini,gpt-5.4-mini_20260413T081755Z,zh,openai,gpt-5.4-mini,15,0.2795207035793694,0.4246666666666667,0.7333333333333333,0.5447621922421633
gpt-5.4 (main),gpt-5.4_20260412T043325Z,en,openai,gpt-5.4,15,0.3858468694855864,0.5226666666666666,0.7333333333333333,0.4564206994180327
gpt-5.4 (main),gpt-5.4_20260412T043325Z,zh,openai,gpt-5.4,15,0.31382681446635563,0.4619999999999999,0.9333333333333333,0.5289129932447171
gpt-5.4 (round2-upload),gpt-5.4_20260413T112311Z,en,openai,gpt-5.4,15,0.34211537814349124,0.48266666666666663,0.8,0.5182836529423558
gpt-5.4 (round2-upload),gpt-5.4_20260413T112311Z,zh,openai,gpt-5.4,15,0.2941896375834039,0.45133333333333336,0.8,0.552439088439836
kimi-for-coding,kimi-for-coding_20260414T162518Z,en,openai,kimi-for-coding,15,0.3573240416445303,0.5013333333333334,0.8666666666666667,0.5061735717962802
kimi-for-coding,kimi-for-coding_20260414T162518Z,zh,openai,kimi-for-coding,15,0.3304963268224208,0.4873333333333333,0.7333333333333333,0.5305573828562714
mimo-v2-omni,mimo-v2-omni_20260417T175954Z,en,openai,mimo-v2-omni,15,0.34046355362589675,0.5006666666666667,0.8,0.5308431501093518
mimo-v2-omni,mimo-v2-omni_20260417T175954Z,zh,openai,mimo-v2-omni,15,0.3090962787034948,0.4586666666666667,0.8666666666666667,0.48892860719049097
mimo-v2-pro,mimo-v2-pro_20260417T175955Z,en,openai,mimo-v2-pro,15,0.34386528382108117,0.4946666666666667,0.8666666666666667,0.4830883335506479
mimo-v2-pro,mimo-v2-pro_20260417T175955Z,zh,openai,mimo-v2-pro,15,0.31569253208883724,0.4766666666666667,0.8666666666666667,0.5464524850162361
qwen3.5-plus,qwen3.5-plus_20260413T182856Z,en,openai,qwen3.5-plus,15,0.31411224955898237,0.4686666666666667,0.8666666666666667,0.5392831990694801
qwen3.5-plus,qwen3.5-plus_20260413T182856Z,zh,openai,qwen3.5-plus,15,0.3313446924812878,0.48933333333333334,0.7333333333333333,0.5221857937072087
qwen3.6-plus,qwen3.6-plus_20260417T171417Z,en,openai,qwen3.6-plus,15,0.3598829213884281,0.49933333333333335,0.8666666666666667,0.5112735771852049
qwen3.6-plus,qwen3.6-plus_20260417T171417Z,zh,openai,qwen3.6-plus,15,0.32822747396147695,0.486,0.7333333333333333,0.4984407414175358
