provider,model,requested_model,resolved_model,provider_backend,panel_id,item_id,item_text_en,item_text_zh,prompt_language,answer_language,round_index,sample_index,temperature,max_output_tokens,seed,provider_timeout_seconds,provider_concurrency,request_cache_key,system_prompt,user_prompt,response_text,finish_reason,request_id,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_source,retry_count,attempt_count,cache_hit,disk_cache_hit,provider_cached_tokens,error,raw_payload,generated_at_utc,response_validation_error,parsed_answer,response_clean,answer_key,coord_answer,coord_answer_key,canonical_answer,normalization_status,closest_human_answer_key,closest_human_canonical,closest_human_score
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,8,1.0,256,980894813,120,3,d75f12ee20b363576393315b45667336f789adb4354e3a76571e1d999d8dd9dd,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_03506c2eef7a420c0169dca7d8298c819aa19a68b622e0a4a0,73,141,214,3.162978300009854,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 141, 'total_tokens': 214, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:22:52.528127+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,11,1.0,256,773607884,120,3,853dc306198754c0ce5a337d40ccc98828836ef3985ffdaf171f34dd3555545a,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_06464067becbe5860169dca7dddc9c819b919cd6a1a69fde00,73,65,138,2.8553601000458,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 65, 'total_tokens': 138, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:22:57.496639+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,19,1.0,256,642082220,120,3,98eb2eb893024271bdba6e92130fe89a9a1df5cc4a8a833774d6722b9aba9c3d,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_0e684afe35aa91b90169dca7f293a8819ba369f103499dd4ac,73,65,138,2.723288799985312,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 65, 'total_tokens': 138, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:23:18.939348+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,30,1.0,256,72616392,120,3,0c1568a373f2376a670fc4e12b5b5e549d579781bb4b3f813aa29591be4351b1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_02622a75f0abeaaf0169dca810a6c8819abb5dd5e1502680a1,73,93,166,2.9015225000912324,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 93, 'total_tokens': 166, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:23:48.350567+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,31,1.0,256,257935007,120,3,c1a25980e591082b9c5aaf225c8fad8f15a1244067b939d0fd5a8e27a3186d89,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_0cf8dd93a9c153550169dca8142f008198b83c8a02bf932976,73,272,345,3.9679156999336556,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 272, 'total_tokens': 345, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:23:53.193220+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,36,1.0,256,692143041,120,3,a840f322f36c87b1823f676106b1f5d2f92fa76b95e8601e154440b1fd7f9424,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_0e77e8e468d5f5e60169dca822fbe4819bb0edff1ada316d6f,73,114,187,6.446146999951452,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 114, 'total_tokens': 187, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:24:09.262638+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,37,1.0,256,353924788,120,3,e672e80276b62789495bdb68b751d0c71a84cf35952c1f9b168536774ac07b91,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_093e170b5cfe75aa0169dca827f8c08199a4af59fb8893f550,73,154,227,3.2171212000539526,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 154, 'total_tokens': 227, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:24:12.164095+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,41,1.0,256,766283736,120,3,2266cafcb4736868ffd5af28ec6b32164494029ded6a6ccddd976465dc066f12,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_06335c65f4d386a70169dca8331140819080a9533a26f28799,73,133,206,5.284705900005065,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 8, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 133, 'total_tokens': 206, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:24:25.307451+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,46,1.0,256,332807223,120,3,9a881e17d02afac757cf11b5a5d7ddd6d31663b0167fdf0810b80eed8130c83c,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_0723a8be364f096c0169dca84906108198a87a4f5a46e24036,73,79,152,13.587105400045402,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 8, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 79, 'total_tokens': 152, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:24:48.657319+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
openai,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini,openai_chat_completions_stream,study2_british_within,study2_item_03,Name a world leader,说出一位世界领导人,en,English,1,48,1.0,256,358571397,120,3,0cd016710ef2174545ca63dd73851f44057b691838aa48f2d5b4c76d557ae9c1,You are taking part in a pure coordination task. Your goal is to give the answer another participant from the UK is most likely to give. Return exactly one short answer and no explanation.,"Give one short answer that is most likely to match another participant from the UK.
Answer in English.
Category: Name a world leader",Trump,stop,resp_0f05bb18256236230169dca84f068c81988ff4e3d6b869a456,73,102,175,5.8014418999664485,provider_api,0,1,False,False,0,,"{'stream': True, 'event_count': 6, 'http_status': 200, 'usage': {'prompt_tokens': 73, 'completion_tokens': 102, 'total_tokens': 175, 'prompt_tokens_details': {'cached_tokens': 0, 'text_tokens': 0, 'audio_tokens': 0, 'image_tokens': 0}, 'completion_tokens_details': {'text_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0}, 'input_tokens': 0, 'output_tokens': 0, 'input_tokens_details': None, 'claude_cache_creation_5_m_tokens': 0, 'claude_cache_creation_1_h_tokens': 0}}",2026-04-13T08:24:51.917563+00:00,,Trump,Trump,trump,Trump,trump,,unmapped,donaldtrump,donaldtrump,62.5
