provider,model,round_index,panel_id,item_id,prompt_language,raw_record_count,successful_samples,expected_samples,missing_samples,completion_rate,is_complete
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_03,en,10,8,10,2,0.8,True
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_03,zh,10,1,10,9,0.1,False
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,en,10,10,10,0,1.0,True
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,zh,10,10,10,0,1.0,True
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_12,en,10,10,10,0,1.0,True
anthropic,claude-opus-4-6,2,study2_british_within,study2_item_12,zh,10,10,10,0,1.0,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,en,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,zh,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,en,50,40,30,0,1.3333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,zh,50,48,30,0,1.6,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,zh,50,41,30,0,1.3666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,en,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,zh,50,46,30,0,1.5333333333333334,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,en,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,zh,50,43,30,0,1.4333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,zh,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,zh,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,zh,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,zh,50,45,30,0,1.5,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,en,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_10,zh,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,en,50,49,30,0,1.6333333333333333,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_11,zh,50,48,30,0,1.6,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,en,50,48,30,0,1.6,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_12,zh,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,en,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_13,zh,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,en,50,42,30,0,1.4,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_14,zh,50,50,30,0,1.6666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,en,50,47,30,0,1.5666666666666667,True
gemini,gemini-2.5-flash,1,study2_british_within,study2_item_15,zh,50,50,30,0,1.6666666666666667,True
