scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,jsd,0.01209857935286206,0.20665609084023728
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,tvd,0.021266666666666666,0.25733333333333336
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,top1_match,0.8,1.0
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.2
aggregate,cross_lingual,openai,deepseek-chat,2,study2_british_within,,en_vs_zh,jsd,0.8195179762781595,0.8195179762781595
aggregate,cross_lingual,openai,deepseek-chat,2,study2_british_within,,en_vs_zh,tvd,0.9,0.9
aggregate,cross_lingual,openai,deepseek-chat,2,study2_british_within,,en_vs_zh,top1_match,0.0,0.0
aggregate,cross_lingual,openai,deepseek-chat,2,study2_british_within,,en_vs_zh,flip_rate,1.0,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,jsd,0.244553109487619,0.4706148376575619
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,tvd,0.3639666666666666,0.6413500000000001
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,top1_match,0.6,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,jsd,0.2028224230197587,0.4221800382748308
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,tvd,0.3332333333333333,0.5827166666666665
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,top1_match,0.6,1.0
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,en,jsd,0.6979605288018343,0.6979605288018343
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,en,tvd,0.81,0.81
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,en,top1_match,0.0,0.0
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,zh,jsd,0.7366045703879845,0.7366045703879845
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,zh,tvd,0.85,0.85
aggregate,human_alignment,openai,deepseek-chat,2,study2_british_within,,zh,top1_match,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.6322282884403654,0.8321885635342889
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.6799999999999999,0.9
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-1.0,-1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.10803154614560012,0.2803220841364248
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.19999999999999998,0.45999999999999996
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,spearman,0.8660254037844387,0.8660254037844387
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.19529542625770435,0.3958156020033583
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.33999999999999997,0.6
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.08502441288198997,0.23645279766002797
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.16000000000000003,0.4
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
