metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.051899160321315516,0.09999999999999999,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,49,30,1.6333333333333333,49.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.17368078776362142,0.4041666666666667,1,0.0,0.39999999999999997,40,30,1.3333333333333333,40.0,48.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.13607766390502524,0.42731707317073164,0,1.0,,41,30,1.3666666666666667,50.0,41.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.16821239380643582,0.3518189884649512,1,0.0,0.6842105263157895,46,30,1.5333333333333334,49.0,46.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.0022615443504111765,0.05030849549121974,1,0.0,,43,30,1.4333333333333333,49.0,43.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,49,30,1.6333333333333333,50.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.0,0.0,1,0.0,,49,30,1.6333333333333333,50.0,49.0
cross_lingual,gemini,gemini-2.5-flash,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.04222594147031519,0.044444444444444405,1,0.0,0.5,45,30,1.5,50.0,45.0
