metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,10,10,1.0,10.0,10.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.41415244726470707,0.62,0,1.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.4071183658159944,0.6399999999999999,0,1.0,-0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.001528402997510646,0.020000000000000007,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.09857798372886895,0.31999999999999995,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.018232370509912332,0.05999999999999997,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.013217429788671745,0.05999999999999998,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,gpt-4o-mini,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
