scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,jsd,0.0,0.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,tvd,0.0,0.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,top1_match,1.0,1.0
aggregate,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,,en_vs_zh,flip_rate,0.0,0.0
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,jsd,0.02940340137136088,0.21926390065575233
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,tvd,0.05856666666666666,0.32669999999999993
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,top1_match,0.6,1.0
aggregate,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.4
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,jsd,0.04678484847737533,0.523778860398527
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,tvd,0.20000000000000004,0.6999999999999998
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,top1_match,0.0,1.0
aggregate,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,,en_vs_zh,flip_rate,0.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.4934226057601447,0.7359181888160803
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.6999999999999998,0.87
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,jsd,0.49342260576014463,0.5605218825340386
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,tvd,0.7,0.76
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,zh,top1_match,1.0,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,jsd,0.20881549304859306,0.4105297652638548
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,tvd,0.33459999999999995,0.5774499999999999
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,en,top1_match,0.6,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,jsd,0.1929521018801208,0.37007545671686465
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,tvd,0.31400000000000006,0.5393666666666665
aggregate,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,,zh,top1_match,0.5333333333333333,0.9333333333333333
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,jsd,0.3778052878757812,0.6643644231347048
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,tvd,0.55,0.8400000000000002
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,en,top1_match,0.0,1.0
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,jsd,0.4630496387341638,0.6631922907258752
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,tvd,0.69,0.79
aggregate,human_alignment,openai,gpt-5.4-mini,2,study2_british_within,,zh,top1_match,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.23645279766002797,0.47262797611078305
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.4,0.6799999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en_vs_zh,spearman,0.0,0.8660254037844387
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.5311142316324396,0.8057045789767676
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.7195,0.92
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.5877328689277115,0.03940552031195504
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.2676425894659842,0.5314107166670511
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,tvd,0.44,0.72
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_04,en_vs_zh,spearman,-0.3354101966249684,0.8605609839587034
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,jsd,0.00030324016460313644,0.066423053260028
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,tvd,0.019999999999999983,0.24
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_05,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_06,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_07,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,en_vs_zh,jsd,0.0,0.03066939825433814
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_08,en_vs_zh,tvd,0.0,0.060000000000000026
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,jsd,0.2378667919928185,0.4696704776436189
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,tvd,0.38,0.6599999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_09,en_vs_zh,spearman,-0.2660662432388705,0.35920602173996785
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_10,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,en_vs_zh,jsd,0.059736415167414555,0.2956175113869214
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_11,en_vs_zh,tvd,0.23950000000000002,0.52
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,jsd,0.0008842066032304233,0.09007927055376594
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,tvd,0.019999999999999952,0.16000000000000003
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_12,en_vs_zh,spearman,0.5,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,jsd,0.5605218825340386,0.836300090691978
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,tvd,0.76,0.94
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_13,en_vs_zh,spearman,-0.5,-0.5
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,jsd,0.0,0.051899160321315516
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,tvd,0.0,0.09999999999999999
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_14,en_vs_zh,spearman,0.8660254037844387,1.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_15,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,1,study2_british_within,study2_item_15,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_02,en_vs_zh,jsd,0.23645279766002797,1.0
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_02,en_vs_zh,tvd,0.4,1.0
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_02,en_vs_zh,spearman,-0.8660254037844387,0.8660254037844387
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_03,en_vs_zh,jsd,0.31127812445913283,1.0
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_03,en_vs_zh,tvd,0.5,1.0
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_03,en_vs_zh,spearman,-0.9428090415820635,0.7905694150420948
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_04,en_vs_zh,jsd,0.0,0.31127812445913283
item,cross_lingual,openai,gpt-5.4-mini,2,study2_british_within,study2_item_04,en_vs_zh,tvd,0.0,0.5
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en,jsd,0.49342260576014463,0.49342260576014463
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en,tvd,0.7,0.7
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,en,spearman,0.37582301400141443,0.37582301400141443
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,zh,jsd,0.49342260576014463,0.49342260576014463
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,zh,tvd,0.7,0.7
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_02,zh,spearman,0.37582301400141443,0.37582301400141443
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_03,en,jsd,0.7103451576000135,0.813500679434765
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_03,en,tvd,0.87,0.9299999999999999
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_03,en,spearman,0.25603878427867727,0.33107545543815975
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,jsd,0.5605218825340386,0.5605218825340386
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,tvd,0.76,0.76
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,en,spearman,0.4633239167994182,0.4633239167994182
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,jsd,0.5605218825340386,0.5605218825340386
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,tvd,0.76,0.76
item,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,study2_item_04,zh,spearman,0.4633239167994182,0.4633239167994182
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en,jsd,0.051899160321315516,0.051899160321315516
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en,tvd,0.09999999999999999,0.09999999999999999
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,en,spearman,0.75,0.75
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,zh,jsd,0.051899160321315516,0.051899160321315516
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,zh,tvd,0.09999999999999999,0.09999999999999999
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_01,zh,spearman,0.75,0.75
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en,jsd,0.49342260576014463,0.49342260576014463
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en,tvd,0.7,0.7
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,en,spearman,0.37582301400141443,0.37582301400141443
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,zh,jsd,0.5587856237586283,0.6536675221465991
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,zh,tvd,0.69,0.6900000000000001
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_02,zh,spearman,-0.0774178403926896,0.1310930006404129
item,human_alignment,openai,gpt-5.4-mini,1,study2_british_within,study2_item_03,en,jsd,0.6292092773000593,0.8336791289905015
