metric_family,provider,model,round_index,panel_id,item_id,item_number,human_top1_probability,consensus_bucket,prompt_language,jsd,tvd,top1_match,flip_rate,spearman,successful_samples,expected_samples,completion_rate,en_successful_samples,zh_successful_samples
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_01,1,0.9,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_02,2,0.3,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,3,0.36,medium,en_vs_zh,0.1288262650620854,0.26,1,0.0,0.5698028822981897,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,4,0.24,low,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,5,0.64,medium,en_vs_zh,0.030703693305900517,0.06000000000000001,1,0.0,1.0,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_06,6,0.44,medium,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_07,7,0.28,low,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_08,8,0.33,low,en_vs_zh,0.02,0.02,1,0.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_09,9,0.48,medium,en_vs_zh,0.07268523383479386,0.16,1,0.0,0.5,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_10,10,0.92,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_11,11,0.56,medium,en_vs_zh,0.01007286462500093,0.02000000000000001,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_12,12,0.3,low,en_vs_zh,0.020294448000613266,0.04000000000000002,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_13,13,0.83,high,en_vs_zh,0.007849458234266265,0.040000000000000015,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_14,14,0.74,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
cross_lingual,openai,mimo-v2-pro,1,study2_british_within,study2_item_15,15,0.88,high,en_vs_zh,0.0,0.0,1,0.0,,50,30,1.6666666666666667,50.0,50.0
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_01,1,0.9,high,en,0.051899160321315516,0.09999999999999999,1,,0.75,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_01,1,0.9,high,zh,0.051899160321315516,0.09999999999999999,1,,0.75,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_02,2,0.3,low,en,0.49342260576014463,0.7,1,,0.37582301400141443,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_02,2,0.3,low,zh,0.49342260576014463,0.7,1,,0.37582301400141443,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,3,0.36,medium,en,0.8075348875418183,0.9,0,,-0.010941098498682859,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_03,3,0.36,medium,zh,0.6642634382636163,0.84,0,,0.06697489823867912,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,4,0.24,low,en,0.5146372522348435,0.74,1,,0.6344324016567203,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_04,4,0.24,low,zh,0.5605218825340386,0.76,1,,0.4633239167994182,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,5,0.64,medium,en,0.5867351827373839,0.78,0,,0.5814536901762849,50,30,1.6666666666666667,,
human_alignment,openai,mimo-v2-pro,1,study2_british_within,study2_item_05,5,0.64,medium,zh,0.44819684961519185,0.72,0,,0.8188456017066091,50,30,1.6666666666666667,,
